HU N P u v hel DD mois heure FFp FFo
96.3 1 1013.1 4.8 -1 28.78 -0.2 7 0 4.9 7.8
93.4 1 1014.5 4.2 -3.2 28.24 -0.65 7 15 5.28 7.3
91.3 1 1015.1 4.8 -2 30.21 -0.39 7 15 5.2 7.3
80.8 1 1014.6 5.4 -4 3.6 -0.64 7 9 6.72 9.7
74.1 1 1013.4 6.8 -4.2 10.33 -0.55 7 12 7.99 12.3
72.7 2 1014 6.6 -4.9 28.08 -0.64 7 12 8.22 12.3
53.3 1 1014.7 8.3 -5.9 23.04 -0.62 7 12 10.18 16.2
45.8 1 1013.8 8.7 -6.3 17.9 -0.63 7 15 10.74 17.8
57.2 1 1014.2 8.3 -6.5 32.88 -0.66 7 18 10.54 17.5
85.1 1 1017.4 6.6 -5.3 52.22 -0.68 7 15 8.46 10.1
58 1 1015.1 7 -7.2 0.8 -0.8 7 12 10.04 18.1
66.7 1 1014.4 8.9 -6.6 25.13 -0.64 7 15 11.08 14.5
94.8 3 1014.4 4.6 -3.1 23.73 -0.59 7 21 5.55 13.3
95 1 1015.2 7.2 -4.1 113.9 -0.52 7 21 8.29 13.3
94.3 1 1013.3 5.8 -2.5 56.44 -0.41 7 15 6.32 7.2
91.5 1 1013 5.8 -2.7 2.99 -0.44 7 9 6.4 13.7
94.7 1 1012.5 4.7 -3.1 -9.17 -0.58 7 18 5.63 10.2
94.5 3 1013.7 3 -1.1 -1.47 -0.36 7 12 3.2 7.4
94 2 1013.5 5.5 0 34.43 0 7 18 5.5 11.4
95.5 1 1014.9 6 0 34.74 0 7 21 6 7
98 1 1016 2 -0.9 22.4 -0.42 7 0 2.19 7.7
86.3 3 1017.7 2.3 -2 -4.44 -0.72 7 9 3.05 4.4
92.3 1 1017.3 5.1 -1.4 23.56 -0.27 7 12 5.29 8.6
90.2 1 1018.8 3.9 -2.8 40.78 -0.62 7 21 4.8 10
95.1 1 1019.6 2.8 -2.9 6.75 -0.8 7 0 4.03 6.9
95.6 1 1019.1 2.7 -0.9 4.97 -0.33 7 0 2.85 6.9
51.5 1 1016.5 3.8 -4.8 15.74 -0.9 7 18 6.12 10.6
84.8 1 1017.6 0 -3.4 -34.53 -1.57 7 15 3.4 6.1
51.8 1 1016.1 4.8 -2 9.25 -0.39 7 12 5.2 14
53.8 1 1015.5 5.4 -5.7 -8.28 -0.81 7 18 7.85 14.6
76.3 1 1016.1 0.5 -3.4 -8.37 -1.42 7 15 3.44 8.1
34.6 1 1014.3 5.1 -3 21.66 -0.53 7 12 5.92 8.8
43.8 1 1014.5 5.8 -2.6 23.43 -0.42 7 12 6.36 8.8
44.9 1 1013.3 6.6 -3.4 33.11 -0.47 7 15 7.42 10.6
46.3 1 1013.3 1.9 -2.1 39.12 -0.83 7 21 2.83 9.4
41 1 1013.5 0.2 4.5 3.27 1.53 8 12 4.5 5.9
47.5 1 1014.5 -0.7 -0.6 -0.56 -2.44 8 0 0.92 5.5
68.9 1 1013.4 -6.2 2.8 144.39 2.72 8 15 6.8 7.3
79 1 1015.5 -6.1 2.9 162.01 2.7 8 15 6.75 8.1
85.1 1 1015.8 -6.7 7.8 96.65 2.28 8 9 10.28 10.5
44.1 1 1015.7 -7.3 7.5 244.43 2.34 8 18 10.47 16
52.2 1 1017.3 -6.2 5.6 276.14 2.41 8 21 8.35 11.5
65 3 1019.3 0.1 0.3 -12.9 1.25 8 15 0.32 2.2
79.7 1 1019.1 -0.3 0.1 20.72 2.79 8 15 0.32 2.2
78.2 1 1020.4 3.2 1 -5.7 0.3 8 9 3.35 5.1
60.6 1 1018.5 3.2 -4.3 -14.49 -0.93 8 18 5.36 8.2
94.5 1 1021 2.9 -3.5 -13.44 -0.88 8 0 4.55 5.4
44.9 1 1016.6 5.4 -4.4 -11.4 -0.68 8 15 6.97 10.8
84.2 1 1017.2 2.1 -2.8 -15.16 -0.93 8 0 3.5 7.9
78.7 1 1015 -0.1 -0.6 -38.64 -1.74 8 15 0.61 2.7
89 1 1015.4 3 -3.3 -3.43 -0.83 8 18 4.46 5.1
97.7 1 1016 1.5 -2.5 -18.33 -1.03 8 0 2.92 3.2
75.5 4 1010.5 2.7 0.5 -2.61 0.19 8 15 2.75 9
67.4 1 1010.2 1.7 1.6 -31.62 0.75 8 21 2.33 14.1
95.6 1 1012.7 3.9 0.1 -56 0 8 15 3.9 4.7
90 2 1013.2 3.7 1.8 -33.41 0.45 8 9 4.11 4
90 9 1011.3 -0.4 5.6 36.67 1.64 8 12 5.61 4.8
86.1 1 1013.6 4 0.4 -31.21 0.1 8 12 4.02 4.8
85.2 1 1012.9 2.9 -0.8 -68.83 -0.27 8 18 3.01 6
93.1 1 1014.5 2.8 0 -30.43 0 8 0 2.8 8.4
65.9 1 1021.5 5.1 -5 -4.84 -0.78 8 21 7.14 12.5
81.2 1 1020.9 5.3 -5.2 -42.93 -0.78 8 0 7.42 10
85.3 1 1024.3 6.2 -6.4 -33.84 -0.8 8 15 8.91 10.1
56.2 1 1023 8.8 -7.7 63.55 -0.72 8 12 11.69 16.4
56.4 1 1024.2 8.8 -6.5 70.55 -0.64 8 12 10.94 16.4
53.2 1 1023.1 7.4 -8 64.45 -0.82 8 18 10.9 17.6
75.8 1 1025 1.5 -4 -34.94 -1.21 8 15 4.27 8.3
40.5 1 1022.7 4.7 -5 21.29 -0.82 8 12 6.86 10.7
30.6 1 1020 2.3 -4.3 18.34 -1.08 8 18 4.88 8.9
54.4 1 1020.8 0.2 -1.8 3.57 -1.46 8 0 1.81 5
52.7 1 1020.2 -0.2 -1.7 13.63 -1.69 8 15 1.71 3.8
59.3 1 1019.4 -0.1 -2 2.53 -1.62 8 15 2 3.8
39 1 1018.4 4.8 3.2 10.52 0.59 8 12 5.77 7.2
32.6 1 1016.8 6.3 0.1 11.85 0 8 15 6.3 7.8
47.3 1 1017.5 1.3 -0.7 -0.86 -0.5 8 21 1.48 7
57.6 1 1016.7 -0.2 -0.7 -14.68 -1.85 8 15 0.73 3.8
41 1 1013.4 3.5 -2.5 -16.85 -0.62 8 18 4.3 7.3
57.5 6 1010.5 0.3 -5 -8.57 -1.51 8 18 5.01 8
62 2 1011.2 -0.2 -0.9 -3.71 -1.79 8 0 0.92 8.1
62.2 1 1010.2 0.6 -0.7 0.39 -0.86 8 15 0.92 4.3
79.5 1 1011.5 0.5 -0.7 10.04 -0.95 8 15 0.86 1.8
76.4 1 1011.8 -0.4 -0.9 0.44 -1.99 8 9 0.98 6.1
78 4 1013.1 4.3 3.2 -6.28 0.64 8 12 5.36 6
91.4 1 1017.1 1.8 -1.6 -36.78 -0.73 8 15 2.41 3.6
55.7 1 1016.6 5.6 -5.3 14.84 -0.76 8 15 7.71 14.2
90.7 1 1019.3 0.4 -1.3 -13.35 -1.27 8 15 1.36 2.7
68.6 1 1019.5 -0.5 -3.6 2.32 -1.71 8 9 3.63 3.4
62.8 1 1016.6 -1.2 -0.5 57.56 -2.75 8 0 1.3 2.8
39.4 1 1013.3 -5.6 8.4 51.46 2.16 8 15 10.1 14
71.1 2 1014.1 -5.6 2.5 185.09 2.72 8 15 6.13 6.4
41.5 1 1017.9 3.7 -3.5 -10.55 -0.76 8 18 5.09 7.8
42.1 1 1019.1 -1.1 -0.9 24.33 -2.46 8 0 1.42 5.1
38.3 1 1018.7 -0.7 -1.5 72.7 -2.01 8 15 1.66 4.4
23.2 1 1017.6 -6 8.8 61.09 2.17 8 12 10.65 12.9
32.8 1 1016.2 -5.3 6 232.25 2.29 8 0 8.01 10.8
39.6 1 1016.6 -0.8 1.9 38.19 1.97 8 15 2.06 6
75.2 3 1015.7 0.1 0.4 -2.6 1.32 8 18 0.41 13.2
81.3 1 1015.9 -2 2.9 34.42 2.18 8 21 3.52 5.6
96.9 6 1011.4 -2 5 47.66 1.95 8 15 5.39 13.1
93 9 1008.5 -0.1 7.8 1.64 1.58 8 9 7.8 10.6
91.8 1 1018.5 6.9 -1.9 -15.4 -0.27 8 21 7.16 4.5
88.3 1 1018.1 7.9 -2.3 -15.15 -0.28 8 15 8.23 9.6
89.5 1 1020 7.5 -2.5 23.06 -0.32 8 15 7.91 11.3
65.2 1 1022.2 7.9 -4.7 9 -0.54 8 12 9.19 15.7
91.8 1 1021.8 0.8 -1.2 -27.26 -0.98 8 15 1.44 5.9
92 1 1021.2 0.1 -1.6 -77.43 -1.51 8 15 1.6 5.9
93.9 1 1022.6 0.8 -3.7 -99.8 -1.36 8 15 3.79 5.9
40.4 1 1019.1 4.1 -1 3.26 -0.24 8 12 4.22 5.7
49.2 1 1018.8 4.1 -1 -9.89 -0.24 8 15 4.22 7.9
55.4 1 1018.9 2.3 -3.1 -38.39 -0.93 8 18 3.86 7.3
62 1 1019.1 0.1 -1.2 -46.96 -1.49 8 0 1.2 3.3
49 1 1017 0.1 -1.2 -10.5 -1.49 8 21 1.2 8.1
60.7 1 1016.6 -0.2 -1.4 -11.89 -1.71 8 0 1.41 6.6
37.3 1 1013.9 3.5 2.5 -8.73 0.62 8 12 4.3 5.5
35.3 1 1011.7 3 -1.4 -10.72 -0.44 8 18 3.31 7.4
61.6 1 1012.7 -0.4 -1.8 16.29 -1.79 8 15 1.84 5.6
59.2 1 1012.1 -0.4 -1.6 16.08 -1.82 8 15 1.65 5.6
91.2 1 1013.1 -6.1 2.9 93.39 2.7 9 15 6.75 10.6
76 1 1013.3 -5.2 8 100.46 2.15 9 12 9.54 11.3
75.6 1 1014.6 -2.2 1.4 53.67 2.57 9 21 2.61 8.5
91 1 1015.3 -1.1 0.9 47.95 2.46 9 0 1.42 9.6
78 2 1014.7 -1.8 1 31.94 2.63 9 21 2.06 7.5
84.5 1 1013 -4.8 5.7 89.45 2.27 9 9 7.45 8.6
90.7 1 1018.8 2.4 -0.1 -13.87 0 9 0 2.4 9.4
69.6 1 1023.2 8.3 -2.3 -10.36 -0.27 9 12 8.61 8.7
81.3 1 1025.9 5.5 -4.5 -54.2 -0.69 9 18 7.11 11.6
52.1 1 1023.1 3.9 -2.4 -22.75 -0.55 9 18 4.58 8.7
75.1 1 1024 0.1 -1.1 -75.12 -1.48 9 0 1.1 5.6
65.1 1 1023.7 3.4 -4.2 -39.47 -0.89 9 15 5.4 11.3
82.6 1 1024.8 5 -5 -25.43 -0.79 9 9 7.07 11.3
67.3 1 1023.6 6.5 -6.1 -46.76 -0.75 9 9 8.91 11.3
81.7 1 1022.5 6.5 -2.4 -14.43 -0.35 9 15 6.93 11.3
64.6 1 1014.6 9.7 -4 16.13 -0.39 9 12 10.49 13.6
74.5 1 1017.3 5.5 -6 25.8 -0.83 9 18 8.14 12.2
97 1 1015.5 0.5 -1.5 4.36 -1.25 9 15 1.58 5.8
66.3 1 1015.5 -1.9 -4.6 -3.28 -1.96 9 9 4.98 5.6
76.8 1 1017.6 -1.3 5.8 41.76 1.79 9 12 5.94 8.3
92.6 1 1019.7 6 -2.6 -30.46 -0.41 9 0 6.54 7.7
82.6 1 1019.5 0.9 -3.7 -51.02 -1.33 9 15 3.81 8.7
67.1 1 1019.2 -0.4 -4.9 -2.42 -1.65 9 9 4.92 4.1
62.9 1 1020.9 0.5 -6.5 -53.01 -1.49 9 15 6.52 8.1
96.2 1 1018.9 1.1 -2.7 -63.72 -1.18 9 15 2.92 8.1
25.5 1 1017.1 -0.4 4.2 -2.78 1.67 9 12 4.22 5.7
65 1 1017.6 -0.7 -0.9 20.17 -2.23 9 0 1.14 3.3
58.8 1 1016.8 -0.6 -1.5 12.2 -1.95 9 15 1.62 4.6
58.3 1 1017 -0.8 -1.2 19.21 -2.16 9 15 1.44 4.6
31.8 3 1015.6 -0.5 5.3 11.35 1.66 9 15 5.32 8.2
34 1 1015.5 -0.8 5.2 12.1 1.72 9 15 5.26 8.2
93.9 1 1018 1.4 -0.5 -17.82 -0.35 9 15 1.49 5.8
87.7 1 1017 4.7 1 -28.39 0.21 9 15 4.81 9.5
96.6 5 1016 3.7 1.2 10.75 0.31 9 18 3.89 9.6
88.9 1 1013.5 9.6 -0.8 -22.24 -0.08 9 15 9.63 13.1
89.3 9 1011.8 6.6 -1.7 -79.44 -0.25 9 15 6.82 13.1
69.9 1 1011.2 6.9 -4.6 -13.94 -0.59 9 15 8.29 15.5
84.1 1 1018.4 9.5 -6.2 81.74 -0.58 9 9 11.34 15.4
65.7 1 1019.1 9.6 -9 86.18 -0.75 9 15 13.16 21.8
76.5 1 1021.1 8.5 -6.8 158.03 -0.68 9 18 10.89 20
75.5 1 1021.5 7.3 -7 85.38 -0.76 9 18 10.11 20
90 1 1024.1 6.2 -6.2 86.68 -0.79 9 21 8.77 13
88.7 1 1024.9 5.4 -5.3 83.18 -0.78 9 0 7.57 12.8
66.7 1 1022.9 1.6 -5.2 -2.5 -1.27 9 9 5.44 13.4
45.1 1 1021.4 0.9 -6 4.64 -1.42 9 12 6.07 10.9
30.4 1 1020.6 2.8 -2.6 -10.64 -0.75 9 12 3.82 5.3
38.1 1 1019.6 5.1 -3.8 -2.93 -0.64 9 12 6.36 10.1
28.9 1 1014.4 2.1 3.7 -4.85 1.05 9 15 4.25 7.1
61.4 1 1015.8 -1 -1 20.84 -2.36 9 0 1.41 4.3
46.1 3 1016.1 0 4.4 -14.7 1.57 9 12 4.4 6.8
51.1 2 1015.7 -1.9 5.2 -15.5 1.92 9 15 5.54 8.4
57.3 1 1017.8 0.2 -0.6 8.54 -1.25 9 21 0.63 5.9
92.8 1 1019 -0.4 0.3 0.04 2.5 9 0 0.5 3.3
61.9 1 1017.6 -0.3 -0.6 13.31 -2.04 9 0 0.67 3.3
64.6 1 1017.7 -0.4 -0.9 -0.85 -1.99 9 15 0.98 3.7
80.2 1 1022.5 -0.3 2 2.26 1.72 9 21 2.02 4.2
74.4 1 1022.8 -0.6 -1 7.78 -2.11 9 15 1.17 4
70.7 1 1024.8 -1 -4.3 6.15 -1.8 9 9 4.41 4.8
67.3 1 1026 -0.9 -1.3 12.01 -2.18 9 0 1.58 5.2
38.1 1 1025.8 -0.2 2.3 0.84 1.66 9 12 2.31 6.9
67.2 1 1025.8 -0.6 -1.7 15.29 -1.91 9 15 1.8 4.6
67.6 1 1025.5 -0.6 -1.7 17.96 -1.91 9 15 1.8 4.6
32.3 1 1024.3 -1.6 7.2 -16.85 1.79 9 15 7.38 11.3
56 1 1025.9 -1.7 -1.7 -20.99 -2.36 9 15 2.4 3
63.2 1 1025.1 -1.1 -1.5 128.15 -2.2 9 0 1.86 3.5
46 1 1026.6 -4.6 0.9 -23.68 2.95 9 9 4.69 5.9
35 1 1024.6 -6.1 7.1 -11.18 2.28 9 12 9.36 12.3
41 1 1025 -4 3.9 4.89 2.37 10 18 5.59 10.5
40.1 1 1025.7 -0.7 -0.4 -13.03 -2.61 10 21 0.81 6.3
62.6 1 1026.4 -0.6 -1.8 0.78 -1.89 10 0 1.9 3.3
45.7 1 1024.9 0.1 -2.8 0.14 -1.54 10 0 2.8 6.9
23.1 1 1022.7 5.5 -3.4 17.32 -0.55 10 15 6.47 8.8
26.7 1 1023.1 3.4 -2 55 -0.53 10 18 3.94 8.7
36.3 1 1024.5 1.2 -0.4 2.77 -0.31 10 0 1.26 6.4
42.7 1 1024.5 0.1 -1.4 8.93 -1.5 10 15 1.4 3.9
47.7 1 1026.5 0.2 -1.1 -8.54 -1.39 10 9 1.12 3.9
62.6 1 1025.1 3.8 -5.6 8.19 -0.97 10 21 6.77 12.5
45.1 1 1024.4 1.5 -0.9 5.29 -0.54 10 0 1.75 13.2
40.8 1 1022.4 4.4 -3.3 27.48 -0.64 10 18 5.5 7.9
60.3 1 1023 1.4 -1.7 -10.38 -0.88 10 0 2.2 2.8
82.7 1 1020.8 7.8 -8.3 -183.54 -0.82 10 15 11.39 15.5
72.1 1 1023 7.6 -8.3 -12.78 -0.83 10 9 11.25 16.8
76.3 1 1023 7.2 -8 40.1 -0.84 10 9 10.76 16.8
67.3 1 1022.6 7.7 -8.9 99.93 -0.86 10 18 11.77 17.4
80 1 1025.1 6.7 -5.8 118.9 -0.71 10 0 8.86 15.7
81.4 1 1023.9 7.4 -6 118.15 -0.68 10 15 9.53 13.1
85.8 1 1025 7.2 -7.4 85 -0.8 10 15 10.32 13
81.5 1 1024.8 8.4 -8 121.14 -0.76 10 9 11.6 17.9
73.5 1 1025.2 8.2 -9.5 118.1 -0.86 10 21 12.55 19.8
86.9 1 1024.2 9.9 -7.4 221.99 -0.64 10 15 12.36 21.2
96.4 1 1028 7.1 -2.6 250.2 -0.35 10 0 7.56 12.9
97.3 1 1028.7 3.6 -2.9 45.43 -0.68 10 15 4.62 11.4
85.6 1 1024.5 0.2 -1.4 4.18 -1.43 10 15 1.41 3.8
76.4 1 1024.4 0.1 -1.1 -19.85 -1.48 10 0 1.1 6.6
81.3 1 1024.2 0.3 -0.9 26.81 -1.25 10 9 0.95 2.6
34.8 1 1021.5 6.3 -5.5 27.94 -0.72 10 15 8.36 14
62.8 1 1022.2 2.8 -3.3 -19.63 -0.87 10 0 4.33 6.9
70.2 1 1024.2 0.2 -1.6 -5.59 -1.45 10 15 1.61 6.6
40.1 1 1020.4 -1.2 -7.3 -8.7 -1.73 10 15 7.4 13.6
36 1 1020 1.4 3.6 0.6 1.2 10 15 3.86 7.3
81 1 1025 -2.4 4.6 17.07 2.05 10 15 5.19 7
78.7 1 1025 -0.5 -0.5 -1.96 -2.35 10 0 0.71 3.2
87.4 1 1021.3 -0.7 -1 0.86 -2.18 10 15 1.22 4.2
73.1 1 1021.4 -0.2 -1.2 8.73 -1.74 10 15 1.22 3.5
77 1 1021.3 -0.8 5.9 27.77 1.71 10 12 5.95 5.6
91.1 1 1024.8 4.7 -5.2 3.47 -0.84 10 15 7.01 11.6
93.9 1 1027.1 5 -5.9 64.8 -0.87 10 15 7.73 11.6
69.6 1 1026.4 1.5 -5.6 -5.81 -1.31 10 21 5.8 10.7
73.6 1 1025.6 -0.9 -4.9 24.31 -1.75 10 15 4.98 8.3
59.8 1 1023.3 -3 5.5 22 2.07 10 12 6.26 4.4
75.8 1 1022.6 -4.7 2.4 41.22 2.67 10 0 5.28 7.3
97.3 1 1017.1 -2.9 4.6 111.98 2.13 10 0 5.44 9.5
93.5 1 1018.4 -5.2 5.2 92.57 2.36 10 15 7.35 9.8
85.7 1 1016.6 -7.9 7.7 114.44 2.37 10 12 11.03 10.7
86.8 1 1016.5 -7.5 7.9 133.82 2.33 10 12 10.89 10.7
93.3 1 1010.6 -9.1 9.1 254.8 2.36 10 0 12.87 17
93.1 1 1007.6 -9.3 9.8 218.67 2.33 10 15 13.51 20.6
92.9 1 1001.2 -0.9 0.2 -63.57 2.93 10 15 0.92 8.4
78.2 1 1010.8 -0.6 -1 -60.02 -2.11 10 0 1.17 4.6
86.1 1 1011.9 -0.5 -1.3 -45.73 -1.94 10 0 1.39 4.6
86.2 1 1014.2 -8.4 5.8 306.76 2.54 10 18 10.21 13.5
86.3 1 1011 -10.3 12.4 142.26 2.26 10 15 16.12 21.5
89.3 1 1012.6 -10.6 8.6 191.02 2.46 10 18 13.65 20.8
94.2 2 1024.2 -0.4 -1.7 48.04 -1.8 10 18 1.75 9
99 1 1024.2 0 -1.4 -18.31 -1.57 10 15 1.4 4.7
98.2 1 1021.9 -0.4 -1 26.71 -1.95 10 0 1.08 3.6
99.8 1 1021.6 -0.8 -0.7 24.12 -2.43 10 0 1.06 3.6
99.6 1 1020.7 -0.4 -1.2 41.31 -1.89 10 15 1.26 3.5
93.8 1 1020.5 -0.5 -1.4 95.33 -1.91 10 15 1.49 3.3
97.4 1 1018.1 -2.4 2.8 69.2 2.28 11 18 3.69 6.2
88.8 1 1008.9 -9.2 11.9 164.42 2.23 11 18 15.04 19.2
82.7 4 1010.1 -9.4 16.4 167.21 2.09 11 21 18.9 25.6
91.7 7 1004.9 -9.5 15.2 194.44 2.13 11 9 17.92 22.9
89.7 4 1001 -11.4 14.2 259.78 2.25 11 15 18.21 28.7
93.3 5 1000.5 -9.3 13.5 277.1 2.17 11 21 16.39 26.4
93.5 7 1000.8 -3.8 6.2 45.49 2.12 11 0 7.27 14.6
96.7 6 1006.5 1.4 -1.3 42.25 -0.75 11 21 1.91 6
97.8 1 1007 1.9 -0.6 154.32 -0.3 11 15 1.99 13.9
82.9 3 1008.2 -4 -10.9 283.28 -1.92 11 9 11.61 12.6
91.7 1 1011 3.1 -2.4 141.7 -0.66 11 15 3.92 7.8
99.5 1 1015.1 3.3 0 28.5 0 11 0 3.3 3.2
85.9 1 1015.7 3.5 -1.2 12.11 -0.33 11 15 3.7 4.6
98 1 1014.5 0.7 -1 3.36 -0.96 11 0 1.22 5.3
96.5 1 1014.1 0.5 -1.3 -80.13 -1.2 11 15 1.39 3.5
90.2 1 1014 0.2 -2.1 60.38 -1.48 11 15 2.11 3.5
96.3 1 1015.9 0.6 -1.2 -58.56 -1.11 11 9 1.34 6
69.8 1 1017.5 -5.1 -4.8 158.44 -2.39 11 21 7 3.7
77.5 1 1018.8 -0.5 -1.6 2.83 -1.87 11 9 1.68 4.3
95.9 1 1020.1 -4.8 2.9 98.93 2.6 11 9 5.61 6.8
93.9 1 1018.9 -2.9 1.8 27.32 2.59 11 18 3.41 7
93 1 1018.2 -4.7 4.3 81.94 2.4 11 18 6.37 7
94.1 1 1018.5 -6 4 83.65 2.55 11 0 7.21 6.7
94.3 1 1018.9 -7.1 4.4 174.66 2.59 11 15 8.35 7.4
90.5 1 1019.1 -7.4 5.5 117.87 2.5 11 15 9.22 12.9
94 1 1027.6 -6.8 4.5 111.15 2.56 11 9 8.15 14.7
93.8 1 1028.8 -7.9 4.3 165.94 2.64 11 21 8.99 13.3
85.8 1 1026.6 -7.3 4.8 209.86 2.56 11 15 8.74 16.1
81 1 1029.3 -7.5 9.1 138.84 2.26 11 12 11.79 15.8
81 1 1026.5 -8.7 4.4 229.38 2.67 11 0 9.75 11.6
86.5 1 1025.7 -9.4 4.7 273.28 2.68 11 0 10.51 11.6
72.8 1 1026.1 -8.8 3.8 221.52 2.73 11 15 9.59 11.2
87.9 1 1024.1 -11 5.4 250.85 2.69 11 15 12.25 9.3
80.2 1 1023.1 -10.2 7.3 176.22 2.52 11 12 12.54 16.7
86.2 1 1022.7 -10.6 5.9 175.65 2.63 11 12 12.13 16.7
86.7 1 1021 -10.2 7.2 127.76 2.53 11 15 12.49 17.3
84.2 1 1017.8 -5.9 3.1 38.52 2.66 11 21 6.66 11
85.8 1 1018.5 -4.2 0.1 78.09 3.14 11 15 4.2 8.5
98.4 1 1024 0.2 0.5 5.47 1.19 11 15 0.54 3.4
90.7 1 1025.2 0 -0.9 8.74 -1.57 11 21 0.9 6.2
88.7 1 1025.7 -0.7 -3.1 17.52 -1.79 11 15 3.18 3.6
90.3 1 1023.4 -0.6 -1.7 19.77 -1.91 11 15 1.8 3.6
95.8 5 1017.8 -7.9 4 215.85 2.67 11 15 8.85 11.6
90 1 1018.2 -9.9 5.8 142.27 2.61 11 9 11.47 12.1
91.9 1 1018.1 -10 6.4 139.24 2.57 11 12 11.87 14.2
91.9 1 1017.3 -9.1 5 180.23 2.64 11 15 10.38 17.8
92.7 1 1018.6 -10.3 4 217.62 2.77 11 15 11.05 13.8
92.6 1 1017.1 -6.5 3 91.12 2.71 11 9 7.16 9.5
84.4 1 1014.9 -6.6 2.7 59.61 2.75 11 15 7.13 14.1
82.7 1 1015.7 -5 2.2 46.89 2.73 11 15 5.46 14.1
64.6 1 1021 0.8 -3.6 70.65 -1.35 11 15 3.69 7.4
68.2 1 1023.5 3 -4.8 16.4 -1.01 11 12 5.66 3.4
65.5 1 1027.2 0.1 -3.3 14.45 -1.54 11 12 3.3 6.3
65.3 1 1024.9 -1.5 -2.1 11.26 -2.19 11 15 2.58 3.8
80 1 1032 2.2 -3.7 20.83 -1.03 11 12 4.3 11.6
72.9 1 1032 2.1 -5.8 55.12 -1.22 11 12 6.17 11.6
54.2 1 1025.6 0 -1.9 10.37 -1.57 11 15 1.9 4.9
77.2 1 1025.5 -1 -2.5 -2.04 -1.95 11 12 2.69 3.1
75.2 1 1024.1 -2 2.1 -7.05 2.33 11 15 2.9 3
64.9 1 1025 -1.8 -0.9 85.81 -2.68 11 21 2.01 4.5
97.3 1 1024.1 -5.7 4.8 140.96 2.44 11 15 7.45 7.1
92.4 1 1024.1 -3.9 5.7 129.51 2.17 11 18 6.91 4.9
97.2 1 1024.3 -3.1 2.6 118.95 2.44 11 18 4.05 4.9
99.8 1 1027.3 0.6 -0.7 14.96 -0.86 11 0 0.92 3.3
97 1 1028 -2.1 2 59.03 2.38 12 15 2.9 6.3
92.9 1 1027 -3.6 2.7 21.73 2.5 12 15 4.5 5.4
91.3 1 1027 -4.4 3.1 23.85 2.53 12 9 5.38 4.4
93.7 1 1010.1 -5.5 4 163.24 2.51 12 0 6.8 10.2
86.2 1 1014.8 0.7 -0.8 -37.47 -0.85 12 15 1.06 7.3
86.5 1 1016.4 1.1 -0.4 -15.8 -0.35 12 9 1.17 3.7
90 1 1017.4 7 -3.2 15.8 -0.43 12 12 7.7 10.7
92.5 1 1018.8 5.2 -2.4 26.23 -0.43 12 18 5.73 8.1
94 1 1020 5.2 -5.7 8.3 -0.83 12 0 7.72 7.3
97.4 2 1022.8 4.8 0.3 60.75 0.06 12 21 4.81 7.2
96.5 2 1020.9 6.4 0.7 60.14 0.11 12 0 6.44 9.9
97.9 9 1020.7 7.3 1.4 93.95 0.19 12 0 7.43 9.9
98.5 1 1017 7.8 2.3 76.18 0.29 12 18 8.13 11.3
97.8 1 1016 8.2 3.5 25.5 0.4 12 21 8.92 11
97.9 1 1015.5 9 4.1 121.65 0.43 12 0 9.89 13.7
88.9 1 1019.1 10.1 -2 53.61 -0.2 12 0 10.3 5.2
93.9 2 1021 10.5 -0.6 47.92 -0.06 12 9 10.52 12.1
90.1 1 1022.1 10 -2.8 33.33 -0.27 12 18 10.38 14.1
87.2 1 1024.2 9.6 -7.1 -47.75 -0.64 12 0 11.94 12.9
89.8 1 1022.9 12.8 -4.3 -12.77 -0.32 12 15 13.5 14
88.7 1 1024.2 13.9 -3.4 109.46 -0.24 12 9 14.31 17.5
88.8 1 1025.7 11.8 -4 38.07 -0.33 12 18 12.46 17.7
94.8 1 1028.1 4.8 -3.4 -1.78 -0.62 12 15 5.88 12.5
93.6 1 1025.7 2.9 -2 -46.32 -0.6 12 18 3.52 6.5
95.9 1 1027 1.8 -1.7 -27.51 -0.76 12 21 2.48 5.1
95.3 1 1023.2 1.3 -0.2 -85.4 -0.17 12 15 1.32 2.5
97.5 1 1024 2.6 -0.1 -65.97 0 12 9 2.6 3.4
98.8 1 1020.9 0 -0.5 -36.32 -1.57 12 0 0.5 2.1
98.5 1 1019.5 0.1 -0.4 -6.76 -1.32 12 9 0.41 4
91.7 1 1019 -0.1 -1 -0.3 -1.67 12 0 1 2.4
79.5 1 1016 -0.5 -1.7 6.81 -1.86 12 15 1.77 3.8
89.9 1 1018.1 0 -1.8 10.79 -1.57 12 9 1.8 3.2
86.9 1 1017.3 -0.4 -1.8 18.8 -1.79 12 9 1.84 3.2
79.4 1 1016.5 -0.4 -1.8 3.92 -1.79 12 12 1.84 1.8
75.7 1 1022.1 7.3 -5.6 -8.5 -0.65 12 15 9.2 14.1
93 1 1023.7 1.8 -3.2 -11.79 -1.06 12 21 3.67 4.3
99.1 5 1015 -4 5.7 180.47 2.18 12 15 6.96 4.3
94.3 1 1017.5 -0.8 0.9 34.15 2.3 12 12 1.2 3.5
93.9 1 1017.6 -1.5 2.7 64.61 2.08 12 15 3.09 1.9
80.6 1 1016 8.9 0.3 -48.06 0.05 12 12 8.91 12.8
93.1 1 1019.7 10.1 1.8 163.73 0.18 12 0 10.26 5.9
97.6 1 1020.3 4.1 2.4 -23.74 0.53 12 15 4.75 7
